날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.04.09,일,14:00,광주-기아 챔피언스필드,KIA,2,두산,3,False,페넌트레이스
2023.04.09,일,14:00,한화생명 이글스 파크,한화,0,SSG,3,False,페넌트레이스
2023.04.09,일,14:00,잠실야구장,LG,3,삼성,2,True,페넌트레이스
2023.04.09,일,14:00,창원NC파크,NC,6,키움,1,True,페넌트레이스
2023.04.11,화,18:30,광주-기아 챔피언스필드,KIA,4,한화,5,False,페넌트레이스
2023.04.11,화,18:30,창원NC파크,NC,1,KT,0,True,페넌트레이스
2023.04.11,화,18:30,사직야구장,롯데,6,LG,5,True,페넌트레이스
2023.04.11,화,18:30,대구 삼성 라이온즈 파크,삼성,4,SSG,5,False,페넌트레이스
2023.04.11,화,18:30,잠실야구장,두산,6,키움,4,True,페넌트레이스
2023.04.12,수,18:30,광주-기아 챔피언스필드,KIA,2,한화,0,True,페넌트레이스
2023.04.12,수,18:30,창원NC파크,NC,5,KT,1,True,페넌트레이스
2023.04.12,수,18:30,사직야구장,롯데,8,LG,12,True,페넌트레이스
2023.04.12,수,18:30,대구 삼성 라이온즈 파크,삼성,0,SSG,3,False,페넌트레이스
2023.04.12,수,18:30,잠실야구장,-,두산  -,경기취소,키움,False,페넌트레이스
2023.04.13,목,18:30,광주-기아 챔피언스필드,KIA,1,한화,5,False,페넌트레이스
2023.04.13,목,18:30,창원NC파크,NC,3,KT,10,True,페넌트레이스
2023.04.13,목,18:30,사직야구장,롯데,8,LG,7,True,페넌트레이스
2023.04.13,목,18:30,대구 삼성 라이온즈 파크,삼성,11,SSG,9,False,페넌트레이스
2023.04.13,목,18:30,잠실야구장,두산,2,키움,9,False,페넌트레이스
2023.04.14,금,18:30,수원 케이티위즈 파크,KT,7,한화,7,False,페넌트레이스
2023.04.14,금,18:30,고척 스카이돔,키움,9,KIA,2,True,페넌트레이스
2023.04.14,금,18:30,대구 삼성 라이온즈 파크,삼성,9,롯데,7,True,페넌트레이스
2023.04.14,금,18:30,인천 SSG 랜더스 필드,SSG,2,NC,1,True,페넌트레이스
2023.04.14,금,18:30,잠실야구장,LG,13,두산,4,False,페넌트레이스
2023.04.15,토,17:00,수원 케이티위즈 파크,KT,2,한화,7,False,페넌트레이스
2023.04.15,토,17:00,고척 스카이돔,키움,6,KIA,1,True,페넌트레이스
2023.04.15,토,17:00,대구 삼성 라이온즈 파크,삼성,5,롯데,9,False,페넌트레이스
2023.04.15,토,17:00,인천 SSG 랜더스 필드,SSG,0,NC,1,False,페넌트레이스
2023.04.15,토,17:00,잠실야구장,LG,3,두산,1,True,페넌트레이스
2023.04.16,일,14:00,수원 케이티위즈 파크,KT,14,한화,2,False,페넌트레이스
2023.04.16,일,14:00,고척 스카이돔,키움,2,KIA,0,True,페넌트레이스
2023.04.16,일,14:00,대구 삼성 라이온즈 파크,삼성,9,롯데,1,True,페넌트레이스
2023.04.16,일,14:00,인천 SSG 랜더스 필드,SSG,5,NC,10,True,페넌트레이스
2023.04.16,일,14:00,잠실야구장,LG,5,두산,10,True,페넌트레이스
2023.04.18,화,18:30,사직야구장,롯데,7,KIA,5,True,페넌트레이스
2023.04.18,화,18:30,잠실야구장,LG,4,NC,6,False,페넌트레이스
2023.04.18,화,18:30,한화생명 이글스 파크,한화,0,두산,2,False,페넌트레이스
2023.04.18,화,18:30,수원 케이티위즈 파크,KT,4,SSG,2,True,페넌트레이스
2023.04.18,화,18:30,고척 스카이돔,키움,4,삼성,6,False,페넌트레이스
2023.04.19,수,18:30,사직야구장,롯데,0,KIA,6,False,페넌트레이스
2023.04.19,수,18:30,잠실야구장,LG,7,NC,5,True,페넌트레이스
