,game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,end_time,home_team_win,match_type,audience
2891,2846,DG04,농구,2024-02-03,토,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
2892,2847,SO06,농구,2024-02-03,토,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
2893,2848,AY01,농구,2024-02-04,일,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
2894,2849,US04,농구,2024-02-04,일,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
2895,2850,SO06,농구,2024-02-04,일,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
2896,2851,GY01,농구,2024-02-05,월,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2897,2852,CW02,농구,2024-02-06,화,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2898,2853,DG04,농구,2024-02-06,화,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2899,2854,BS03,농구,2024-02-08,목,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2900,2855,DG04,농구,2024-02-08,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2901,2856,SU04,농구,2024-02-09,금,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
2902,2857,GY01,농구,2024-02-09,금,,0 days 16:00:00,0 days 17:20:00,0,정규시즌,
2903,2858,SO07,농구,2024-02-10,토,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
2904,2859,DG04,농구,2024-02-10,토,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
2905,2860,US04,농구,2024-02-10,토,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
2906,2861,SO06,농구,2024-02-11,일,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
2907,2862,AY01,농구,2024-02-11,일,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
2908,2863,WJ01,농구,2024-02-11,일,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
2909,2864,CW02,농구,2024-02-12,월,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
2910,2865,BS03,농구,2024-02-12,월,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
2911,2866,WJ01,농구,2024-02-13,화,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2912,2867,SO06,농구,2024-02-13,화,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2913,2868,SU04,농구,2024-02-14,수,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2914,2869,GY01,농구,2024-02-14,수,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2915,2870,AY01,농구,2024-02-15,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2916,2871,SO07,농구,2024-02-15,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2917,2872,US04,농구,2024-02-28,수,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2918,2873,SO07,농구,2024-02-28,수,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2919,2874,BS03,농구,2024-02-29,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2920,2875,SO06,농구,2024-02-29,목,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2921,2876,SO07,농구,2024-03-01,금,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
2922,2877,US04,농구,2024-03-01,금,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
2923,2878,CW02,농구,2024-03-01,금,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
2924,2879,BS03,농구,2024-03-02,토,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
2925,2880,WJ01,농구,2024-03-02,토,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
2926,2881,SO06,농구,2024-03-02,토,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
2927,2882,SU04,농구,2024-03-03,일,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
2928,2883,AY01,농구,2024-03-03,일,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
2929,2884,SO07,농구,2024-03-03,일,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
2930,2885,SO06,농구,2024-03-04,월,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2931,2886,GY01,농구,2024-03-05,화,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2932,2887,SO07,농구,2024-03-05,화,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2933,2888,CW02,농구,2024-03-07,목,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2934,2889,SO06,농구,2024-03-07,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2935,2890,SU04,농구,2024-03-07,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2936,2891,SU04,농구,2024-03-09,토,,0 days 15:00:00,0 days 16:20:00,1,정규시즌,
2937,2892,WJ01,농구,2024-03-09,토,,0 days 17:00:00,0 days 18:20:00,1,정규시즌,
2938,2893,SO06,농구,2024-03-09,토,,0 days 17:00:00,0 days 18:20:00,1,정규시즌,
2939,2894,CW02,농구,2024-03-11,월,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2940,2895,AY01,농구,2024-03-13,수,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2941,2896,SO07,농구,2024-03-13,수,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2942,2897,WJ01,농구,2024-03-14,목,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2943,2898,AY01,농구,2024-03-14,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2944,2899,DG04,농구,2024-03-15,금,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2945,2900,GY01,농구,2024-03-15,금,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2946,2901,SU04,농구,2024-03-16,토,,0 days 15:00:00,0 days 16:20:00,1,정규시즌,
2947,2902,US04,농구,2024-03-16,토,,0 days 17:00:00,0 days 18:20:00,1,정규시즌,
2948,2903,AY01,농구,2024-03-16,토,,0 days 17:00:00,0 days 18:20:00,1,정규시즌,
2949,2904,DG04,농구,2024-03-17,일,,0 days 15:00:00,0 days 16:20:00,0,정규시즌,
2950,2905,BS03,농구,2024-03-17,일,,0 days 17:00:00,0 days 18:20:00,1,정규시즌,
2951,2906,CW02,농구,2024-03-17,일,,0 days 17:00:00,0 days 18:20:00,1,정규시즌,
2952,2907,SO06,농구,2024-03-18,월,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2953,2908,CW02,농구,2024-03-19,화,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2954,2909,SO07,농구,2024-03-19,화,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2955,2910,BS03,농구,2024-03-20,수,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2956,2911,AY01,농구,2024-03-21,목,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2957,2912,SO07,농구,2024-03-21,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2958,2913,BS03,농구,2024-03-22,금,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
2959,2914,GY01,농구,2024-03-22,금,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
2960,2915,SU04,농구,2024-03-23,토,,0 days 15:00:00,0 days 16:20:00,1,정규시즌,
2961,2916,WJ01,농구,2024-03-23,토,,0 days 18:00:00,0 days 19:20:00,0,정규시즌,
2962,2917,SO07,농구,2024-03-23,토,,0 days 18:00:00,0 days 19:20:00,1,정규시즌,
2963,2918,US04,농구,2024-03-24,일,,0 days 15:00:00,0 days 16:20:00,0,정규시즌,
2964,2919,WJ01,농구,2024-03-24,일,,0 days 18:00:00,0 days 19:20:00,1,정규시즌,
