date,region_code,accident_count,game_count,sport_types,has_playoff,temperature,precipitation,weather_condition,is_holiday,weekday
2023-07-27,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-07-28,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-07-29,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-07-30,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-07-31,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-08-01,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-08-02,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-08-03,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-08-04,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-08-05,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-08-06,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-08-07,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-08-08,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-08-09,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-08-10,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-08-11,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-08-12,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-08-13,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-08-14,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-08-15,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-08-16,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-08-17,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-08-18,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-08-19,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-08-20,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-08-21,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-08-22,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-08-23,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-08-24,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-08-25,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-08-26,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-08-27,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-08-28,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-08-29,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-08-30,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-08-31,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-09-01,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-09-02,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-09-03,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-09-04,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-09-05,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-09-06,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-09-07,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-09-08,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-09-09,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-09-10,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-09-11,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-09-12,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-09-13,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-09-14,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-09-15,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-09-16,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-09-17,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-09-18,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-09-19,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-09-20,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-09-21,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-09-22,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-09-23,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-09-24,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-09-25,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-09-26,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-09-27,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-09-28,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-09-29,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-09-30,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-10-01,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-10-02,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-10-03,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-10-04,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-10-05,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-10-06,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-10-07,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-10-08,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-10-09,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-10-10,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-10-11,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-10-12,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-10-13,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-10-14,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-10-15,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-10-16,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-10-17,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-10-18,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-10-19,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-10-20,서울_송파구,0,0,없음,0,,,정보없음,0,금
2023-10-21,서울_송파구,0,0,없음,0,,,정보없음,0,토
2023-10-22,서울_송파구,0,0,없음,0,,,정보없음,0,일
2023-10-23,서울_송파구,0,0,없음,0,,,정보없음,0,월
2023-10-24,서울_송파구,0,0,없음,0,,,정보없음,0,화
2023-10-25,서울_송파구,0,0,없음,0,,,정보없음,0,수
2023-10-26,서울_송파구,0,0,없음,0,,,정보없음,0,목
2023-10-27,서울_송파구,0,0,없음,0,,,정보없음,0,금
