game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,home_team_win,audience,region,accident_count,injury_count,death_count,temperature,precipitation,snow_depth,start_hour,match_시범경기,match_정규시즌,match_포스트시즌
1873,BS02,야구,2024-08-26,화,0,0 days 18:30:00,1,0,부산 동래구,1.0,1.0,0.0,28.8,0.0,0.0,18,False,True,False
1874,CW01,야구,2024-08-26,화,0,0 days 18:30:00,1,0,경남 창원시,0.0,0.0,0.0,29.0,0.0,0.0,18,False,True,False
1875,SO05,야구,2024-08-26,화,0,0 days 18:30:00,0,0,서울 송파구,6.0,18.0,0.0,28.3,0.0,0.0,18,False,True,False
1876,SO04,야구,2024-08-27,수,0,0 days 18:30:00,0,0,서울 구로구,0.0,0.0,0.0,28.4,0.0,0.0,18,False,True,False
1877,IC02,야구,2024-08-27,수,0,0 days 18:30:00,1,0,인천 미추홀구,4.0,5.0,0.0,28.7,0.0,0.0,18,False,True,False
1878,BS02,야구,2024-08-27,수,0,0 days 18:30:00,1,0,부산 동래구,2.0,2.0,0.0,26.7,0.0,0.0,18,False,True,False
1879,CW01,야구,2024-08-27,수,0,0 days 18:30:00,1,0,경남 창원시,0.0,0.0,0.0,27.5,0.0,0.0,18,False,True,False
1880,SO05,야구,2024-08-27,수,0,0 days 18:30:00,0,0,서울 송파구,8.0,9.0,1.0,28.4,0.0,0.0,18,False,True,False
1881,SO04,야구,2024-08-28,목,0,0 days 18:30:00,0,0,서울 구로구,0.0,0.0,0.0,30.9,0.0,0.0,18,False,True,False
1882,IC02,야구,2024-08-28,목,0,0 days 18:30:00,1,0,인천 미추홀구,5.0,7.0,0.0,31.0,0.0,0.0,18,False,True,False
1883,BS02,야구,2024-08-28,목,0,0 days 18:30:00,1,0,부산 동래구,1.0,1.0,0.0,27.6,0.0,0.0,18,False,True,False
1884,CW01,야구,2024-08-28,목,0,0 days 18:30:00,1,0,경남 창원시,0.0,0.0,0.0,27.7,0.0,0.0,18,False,True,False
1885,SO05,야구,2024-08-28,목,0,0 days 18:30:00,0,0,서울 송파구,4.0,5.0,0.0,30.9,0.0,0.0,18,False,True,False
1886,SU03,야구,2024-08-29,금,0,0 days 18:30:00,1,0,경기 수원시,12.0,15.0,0.0,29.9,0.0,0.0,18,False,True,False
1887,IC02,야구,2024-08-29,금,0,0 days 18:30:00,1,0,인천 미추홀구,9.0,10.0,0.0,30.9,0.0,0.0,18,False,True,False
1888,BS02,야구,2024-08-29,금,0,0 days 18:30:00,1,0,부산 동래구,2.0,2.0,0.0,27.8,0.0,0.0,18,False,True,False
1889,DJ02,야구,2024-08-29,금,0,0 days 18:30:00,1,0,대전 중구,2.0,2.0,0.0,27.0,0.0,0.0,18,False,True,False
1890,SO05,야구,2024-08-29,금,0,0 days 18:30:00,0,0,서울 송파구,7.0,7.0,0.0,30.2,0.0,0.0,18,False,True,False
1891,SU03,야구,2024-08-30,토,0,0 days 18:00:00,1,0,경기 수원시,17.0,21.0,0.0,29.4,0.0,0.0,18,False,True,False
1892,IC02,야구,2024-08-30,토,0,0 days 18:00:00,1,0,인천 미추홀구,8.0,9.0,1.0,29.6,0.0,0.0,18,False,True,False
1893,BS02,야구,2024-08-30,토,0,0 days 18:00:00,1,0,부산 동래구,2.0,2.0,0.0,30.6,0.0,0.0,18,False,True,False
1894,DJ02,야구,2024-08-30,토,0,0 days 18:00:00,1,0,대전 중구,1.0,3.0,0.0,30.9,0.0,0.0,18,False,True,False
1895,SO05,야구,2024-08-30,토,0,0 days 18:00:00,0,0,서울 송파구,11.0,13.0,0.0,31.4,0.0,0.0,18,False,True,False
1896,SU03,야구,2024-08-31,일,1,0 days 18:00:00,1,0,경기 수원시,18.0,24.0,0.0,28.9,0.0,0.0,18,False,True,False
1897,IC02,야구,2024-08-31,일,1,0 days 18:00:00,1,0,인천 미추홀구,6.0,6.0,0.0,29.5,0.0,0.0,18,False,True,False
1898,BS02,야구,2024-08-31,일,1,0 days 18:00:00,1,0,부산 동래구,5.0,8.0,0.0,27.8,0.0,0.0,18,False,True,False
1899,DJ02,야구,2024-08-31,일,1,0 days 18:00:00,1,0,대전 중구,4.0,9.0,0.0,29.6,0.0,0.0,18,False,True,False
1900,SO05,야구,2024-08-31,일,1,0 days 18:00:00,0,0,서울 송파구,9.0,10.0,0.0,31.3,0.0,0.0,18,False,True,False
1901,GJ02,야구,2024-08-01,금,0,0 days 18:30:00,0,0,광주 북구,6.0,6.0,0.0,30.7,0.0,0.0,18,False,True,False
1902,DG03,야구,2024-08-01,금,0,0 days 18:30:00,1,0,대구 수성구,1.0,1.0,0.0,34.3,0.0,0.0,18,False,True,False
1903,SO04,야구,2024-08-01,금,0,0 days 18:30:00,1,0,서울 구로구,0.0,0.0,0.0,31.7,0.0,0.0,18,False,True,False
1904,SU03,야구,2024-08-01,금,0,0 days 18:30:00,0,0,경기 수원시,12.0,19.0,0.0,30.5,0.0,0.0,18,False,True,False
1905,SO05,야구,2024-08-01,금,0,0 days 18:30:00,1,0,서울 송파구,8.0,12.0,0.0,31.7,0.0,0.0,18,False,True,False
1906,GJ02,야구,2024-08-02,토,0,0 days 18:00:00,0,0,광주 북구,5.0,10.0,0.0,33.3,0.0,0.0,18,False,True,False
1907,DG03,야구,2024-08-02,토,0,0 days 18:00:00,1,0,대구 수성구,6.0,9.0,0.0,35.4,0.0,0.0,18,False,True,False
1908,SO04,야구,2024-08-02,토,0,0 days 18:00:00,1,0,서울 구로구,0.0,0.0,0.0,31.7,0.0,0.0,18,False,True,False
