game_id,stadium_code,game_date,day_of_week,is_holiday,start_time,home_team_win,audience,region,accident_count,injury_count,death_count,temperature,precipitation,snow_depth,start_hour,match_시범경기,match_정규시즌,match_포스트시즌,type_농구,type_배구,type_야구,type_여자배구,type_축구
1755,DG03,2024-10-14,월,0,0 days 18:30:00,1,16547.708274921548,대구 수성구,9.0,17.0,0.0,18.7,3.2,0.0,18,False,False,True,False,False,True,False,False
1756,DG03,2024-10-15,화,0,0 days 18:30:00,0,15606.953479449518,대구 수성구,3.0,4.0,0.0,20.3,0.0,0.0,18,False,False,True,False,False,True,False,False
1757,SO05,2024-10-17,목,0,0 days 18:30:00,1,12581.21654779861,서울 송파구,6.0,8.0,0.0,20.9,0.0,0.0,18,False,False,True,False,False,True,False,False
1758,SO05,2024-10-18,금,0,0 days 18:30:00,0,17088.797904771243,서울 송파구,8.0,13.0,0.0,16.7,0.0,0.0,18,False,False,True,False,False,True,False,False
1759,SO05,2024-10-19,토,1,0 days 14:00:00,0,15902.74005289107,서울 송파구,9.0,9.0,0.0,20.2,0.0,0.0,14,False,False,True,False,False,True,False,False
1760,GJ02,2024-10-21,월,0,0 days 18:30:00,1,13245.571004790912,광주 북구,11.0,18.0,0.0,17.5,0.5,0.0,18,False,False,True,False,False,True,False,False
1761,GJ02,2024-10-22,화,0,0 days 18:30:00,0,14238.906801586694,광주 북구,5.0,5.0,0.0,19.4,0.5,0.0,18,False,False,True,False,False,True,False,False
1762,GJ02,2024-10-23,수,0,0 days 18:30:00,1,14924.31248966818,광주 북구,11.0,15.0,0.0,14.2,0.0,0.0,18,False,False,True,False,False,True,False,False
1763,DG03,2024-10-25,금,0,0 days 18:30:00,1,13888.698367127115,대구 수성구,9.0,10.0,0.0,16.9,0.0,0.0,18,False,False,True,False,False,True,False,False
1764,DG03,2024-10-26,토,1,0 days 14:00:00,0,15973.98027343709,대구 수성구,7.0,12.0,0.0,20.9,0.0,0.0,14,False,False,True,False,False,True,False,False
1765,GJ02,2024-10-28,월,0,0 days 18:30:00,1,13726.141966262916,광주 북구,8.0,11.0,0.0,17.1,0.0,0.0,18,False,False,True,False,False,True,False,False
1766,GJ02,2024-08-01,금,0,0 days 18:30:00,0,20500.0,광주 북구,6.0,6.0,0.0,30.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1767,DG03,2024-08-01,금,0,0 days 18:30:00,1,15455.456666025124,대구 수성구,1.0,1.0,0.0,34.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1768,SO04,2024-08-01,금,0,0 days 18:30:00,1,7306.0,서울 구로구,0.0,0.0,0.0,31.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1769,SU03,2024-08-01,금,0,0 days 18:30:00,0,15197.0,경기 수원시,12.0,19.0,0.0,30.5,0.0,0.0,18,False,True,False,False,False,True,False,False
1770,SO05,2024-08-01,금,0,0 days 18:30:00,1,23315.0,서울 송파구,8.0,12.0,0.0,31.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1771,GJ02,2024-08-02,토,0,0 days 18:00:00,0,12791.169445592102,광주 북구,5.0,10.0,0.0,33.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1772,DG03,2024-08-02,토,0,0 days 18:00:00,1,22336.0,대구 수성구,6.0,9.0,0.0,35.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1773,SO04,2024-08-02,토,0,0 days 18:00:00,1,9002.130829122576,서울 구로구,0.0,0.0,0.0,31.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1774,SU03,2024-08-02,토,0,0 days 18:00:00,0,10737.261788070182,경기 수원시,7.0,22.0,0.0,30.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1775,SO05,2024-08-02,토,0,0 days 18:00:00,1,13209.0,서울 송파구,7.0,13.0,0.0,31.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1776,SO04,2024-08-03,일,1,0 days 14:00:00,1,11500.5930124225,서울 구로구,0.0,0.0,0.0,33.2,0.0,0.0,14,False,True,False,False,False,True,False,False
1777,GJ02,2024-08-03,일,1,0 days 18:00:00,0,14886.397538837353,광주 북구,12.0,20.0,0.0,33.9,0.0,0.0,18,False,True,False,False,False,True,False,False
1778,DG03,2024-08-03,일,1,0 days 18:00:00,1,24000.0,대구 수성구,4.0,3.0,1.0,36.0,0.0,0.0,18,False,True,False,False,False,True,False,False
1779,SU03,2024-08-03,일,1,0 days 18:00:00,0,9875.220979882984,경기 수원시,11.0,14.0,0.0,32.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1780,SO05,2024-08-03,일,1,0 days 18:00:00,1,15527.0,서울 송파구,5.0,7.0,0.0,33.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1781,BS02,2024-08-05,화,0,0 days 18:30:00,1,15437.92137020594,부산 동래구,1.0,1.0,0.0,28.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1782,DJ02,2024-08-05,화,0,0 days 18:30:00,1,9556.309601104627,대전 중구,4.0,4.0,0.0,25.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1783,SO05,2024-08-05,화,0,0 days 18:30:00,0,17625.79392950812,서울 송파구,7.0,8.0,0.0,31.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1784,IC02,2024-08-05,화,0,0 days 18:30:00,0,18985.553423905934,인천 미추홀구,7.0,10.0,0.0,30.2,0.0,0.0,18,False,True,False,False,False,True,False,False
1785,CW01,2024-08-05,화,0,0 days 18:30:00,0,8924.098543320395,경남 창원시,0.0,0.0,0.0,28.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1786,BS02,2024-08-06,수,0,0 days 18:30:00,1,17068.0,부산 동래구,2.0,2.0,0.0,28.5,0.0,0.0,18,False,True,False,False,False,True,False,False
1787,DJ02,2024-08-06,수,0,0 days 18:30:00,1,7736.668570472045,대전 중구,6.0,6.0,0.0,30.8,0.0,0.0,18,False,True,False,False,False,True,False,False
1788,SO05,2024-08-06,수,0,0 days 18:30:00,0,17065.0,서울 송파구,10.0,15.0,0.0,32.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1789,IC02,2024-08-06,수,0,0 days 18:30:00,0,15021.449644449594,인천 미추홀구,5.0,7.0,0.0,29.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1790,CW01,2024-08-06,수,0,0 days 18:30:00,0,10783.829957013018,경남 창원시,0.0,0.0,0.0,28.9,0.0,0.0,18,False,True,False,False,False,True,False,False
1791,BS02,2024-08-07,목,0,0 days 18:30:00,1,18425.0,부산 동래구,2.0,3.0,0.0,30.1,0.0,0.0,18,False,True,False,False,False,True,False,False
1792,DJ02,2024-08-07,목,0,0 days 18:30:00,1,10364.630211488742,대전 중구,4.0,4.0,0.0,30.0,0.0,0.0,18,False,True,False,False,False,True,False,False
1793,SO05,2024-08-07,목,0,0 days 18:30:00,0,15883.0,서울 송파구,9.0,16.0,0.0,31.2,0.0,0.0,18,False,True,False,False,False,True,False,False
1794,IC02,2024-08-07,목,0,0 days 18:30:00,0,15348.28966084893,인천 미추홀구,0.0,0.0,0.0,29.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1795,CW01,2024-08-07,목,0,0 days 18:30:00,0,8278.947722019191,경남 창원시,0.0,0.0,0.0,29.9,0.0,0.0,18,False,True,False,False,False,True,False,False
1796,SO05,2024-08-08,금,0,0 days 18:30:00,0,16321.0,서울 송파구,10.0,17.0,0.0,30.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1797,SO04,2024-08-08,금,0,0 days 18:30:00,1,8000.0,서울 구로구,0.0,0.0,0.0,30.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1798,BS02,2024-08-08,금,0,0 days 18:30:00,1,15396.093202323369,부산 동래구,0.0,0.0,0.0,25.8,0.0,0.0,18,False,True,False,False,False,True,False,False
1799,SU03,2024-08-08,금,0,0 days 18:30:00,0,11407.315567954278,경기 수원시,11.0,17.0,0.0,28.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1800,CW01,2024-08-08,금,0,0 days 18:30:00,1,9169.840047098714,경남 창원시,0.0,0.0,0.0,25.1,15.9,0.0,18,False,True,False,False,False,True,False,False
1801,SO05,2024-08-09,토,0,0 days 18:00:00,0,14131.0,서울 송파구,6.0,6.0,0.0,32.2,0.0,0.0,18,False,True,False,False,False,True,False,False
1802,SO04,2024-08-09,토,0,0 days 18:00:00,1,10255.415572371901,서울 구로구,0.0,0.0,0.0,32.2,0.0,0.0,18,False,True,False,False,False,True,False,False
1803,BS02,2024-08-09,토,0,0 days 18:00:00,1,14257.971310602905,부산 동래구,1.0,1.0,0.0,30.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1804,SU03,2024-08-09,토,0,0 days 18:00:00,0,11534.0,경기 수원시,9.0,11.0,0.0,30.9,0.0,0.0,18,False,True,False,False,False,True,False,False
1805,CW01,2024-08-09,토,0,0 days 18:00:00,1,8889.908365709878,경남 창원시,0.0,0.0,0.0,30.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1806,SO04,2024-08-10,일,1,0 days 14:00:00,1,7853.715205333076,서울 구로구,0.0,0.0,0.0,33.1,0.0,0.0,14,False,True,False,False,False,True,False,False
1807,SO05,2024-08-10,일,1,0 days 18:00:00,0,19151.0,서울 송파구,9.0,11.0,0.0,32.8,0.0,0.0,18,False,True,False,False,False,True,False,False
1808,BS02,2024-08-10,일,1,0 days 18:00:00,1,14639.027419435079,부산 동래구,3.0,3.0,0.0,30.0,0.0,0.0,18,False,True,False,False,False,True,False,False
1809,SU03,2024-08-10,일,1,0 days 18:00:00,0,18700.0,경기 수원시,15.0,21.0,0.0,31.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1810,CW01,2024-08-10,일,1,0 days 18:00:00,1,10057.533310496798,경남 창원시,0.0,0.0,0.0,29.8,0.0,0.0,18,False,True,False,False,False,True,False,False
1811,DG03,2024-08-12,화,0,0 days 18:30:00,1,14626.611530691627,대구 수성구,7.0,11.0,0.0,30.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1812,SU03,2024-08-12,화,0,0 days 18:30:00,0,9385.000651110442,경기 수원시,8.0,8.0,0.0,31.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1813,DJ02,2024-08-12,화,0,0 days 18:30:00,1,7711.923327256392,대전 중구,0.0,0.0,0.0,32.2,0.0,0.0,18,False,True,False,False,False,True,False,False
1814,SO05,2024-08-12,화,0,0 days 18:30:00,1,16360.611958660706,서울 송파구,8.0,9.0,0.0,32.8,0.0,0.0,18,False,True,False,False,False,True,False,False
1815,IC02,2024-08-12,화,0,0 days 18:30:00,0,16570.89030262247,인천 미추홀구,4.0,5.0,0.0,31.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1816,DG03,2024-08-13,수,0,0 days 18:30:00,1,15109.0,대구 수성구,5.0,8.0,1.0,29.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1817,SU03,2024-08-13,수,0,0 days 18:30:00,0,11469.237557983022,경기 수원시,14.0,23.0,0.0,28.2,0.0,0.0,18,False,True,False,False,False,True,False,False
1818,DJ02,2024-08-13,수,0,0 days 18:30:00,1,11748.0,대전 중구,3.0,5.0,0.0,32.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1819,SO05,2024-08-13,수,0,0 days 18:30:00,1,17434.460687529714,서울 송파구,7.0,7.0,0.0,30.8,0.0,0.0,18,False,True,False,False,False,True,False,False
1820,IC02,2024-08-13,수,0,0 days 18:30:00,0,14769.186737427472,인천 미추홀구,4.0,5.0,0.0,31.1,0.0,0.0,18,False,True,False,False,False,True,False,False
1821,DG03,2024-08-14,목,0,0 days 18:30:00,1,20435.0,대구 수성구,7.0,9.0,0.0,29.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1822,SU03,2024-08-14,목,0,0 days 18:30:00,0,10553.562060498509,경기 수원시,12.0,19.0,0.0,28.2,1.4,0.0,18,False,True,False,False,False,True,False,False
1823,DJ02,2024-08-14,목,0,0 days 18:30:00,1,11884.0,대전 중구,3.0,4.0,0.0,31.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1824,SO05,2024-08-14,목,0,0 days 18:30:00,1,21337.0,서울 송파구,10.0,16.0,0.0,27.9,0.0,0.0,18,False,True,False,False,False,True,False,False
1825,IC02,2024-08-14,목,0,0 days 18:30:00,0,12380.51280929982,인천 미추홀구,6.0,9.0,0.0,28.2,1.2,0.0,18,False,True,False,False,False,True,False,False
1826,CW01,2024-08-15,금,1,0 days 18:00:00,0,10389.0,경남 창원시,0.0,0.0,0.0,26.0,18.9,0.0,18,False,True,False,False,False,True,False,False
1827,SO05,2024-08-15,금,1,0 days 18:00:00,1,23750.0,서울 송파구,4.0,4.0,0.0,28.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1828,SO04,2024-08-15,금,1,0 days 18:00:00,1,16000.0,서울 구로구,0.0,0.0,0.0,28.6,0.0,0.0,18,False,True,False,False,False,True,False,False
1829,IC02,2024-08-15,금,1,0 days 18:00:00,1,16427.39524604596,인천 미추홀구,3.0,5.0,0.0,29.0,1.4,0.0,18,False,True,False,False,False,True,False,False
1830,BS02,2024-08-15,금,1,0 days 18:00:00,0,15733.323977739716,부산 동래구,1.0,2.0,0.0,30.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1831,CW01,2024-08-16,토,0,0 days 18:00:00,0,10580.0,경남 창원시,0.0,0.0,0.0,29.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1832,SO05,2024-08-16,토,0,0 days 18:00:00,1,23750.0,서울 송파구,10.0,16.0,0.0,32.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1833,SO04,2024-08-16,토,0,0 days 18:00:00,1,9817.453750374403,서울 구로구,0.0,0.0,0.0,32.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1834,IC02,2024-08-16,토,0,0 days 18:00:00,1,21057.0,인천 미추홀구,0.0,0.0,0.0,31.5,0.0,0.0,18,False,True,False,False,False,True,False,False
1835,BS02,2024-08-16,토,0,0 days 18:00:00,0,21181.0,부산 동래구,4.0,4.0,0.0,30.3,0.0,0.0,18,False,True,False,False,False,True,False,False
1836,SO04,2024-08-17,일,1,0 days 14:00:00,1,10108.694368048897,서울 구로구,0.0,0.0,0.0,33.0,0.0,0.0,14,False,True,False,False,False,True,False,False
1837,CW01,2024-08-17,일,1,0 days 18:00:00,0,17891.0,경남 창원시,0.0,0.0,0.0,29.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1838,SO05,2024-08-17,일,1,0 days 18:00:00,1,23750.0,서울 송파구,7.0,11.0,0.0,31.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1839,IC02,2024-08-17,일,1,0 days 18:00:00,1,23000.0,인천 미추홀구,3.0,4.0,0.0,30.7,0.0,0.0,18,False,True,False,False,False,True,False,False
1840,BS02,2024-08-17,일,1,0 days 18:00:00,0,22758.0,부산 동래구,1.0,1.0,0.0,30.1,0.0,0.0,18,False,True,False,False,False,True,False,False
1841,SO05,2024-08-19,화,0,0 days 18:30:00,0,16404.807083662447,서울 송파구,7.0,8.0,0.0,27.8,2.3,0.0,18,False,True,False,False,False,True,False,False
1842,DJ02,2024-08-19,화,0,0 days 18:30:00,1,9313.654937985073,대전 중구,6.0,8.0,0.0,31.2,0.0,0.0,18,False,True,False,False,False,True,False,False
1843,SU03,2024-08-19,화,0,0 days 18:30:00,0,9786.755112337169,경기 수원시,10.0,13.0,0.0,30.2,0.0,0.0,18,False,True,False,False,False,True,False,False
1844,GJ02,2024-08-19,화,0,0 days 18:30:00,0,12956.913098028948,광주 북구,7.0,8.0,0.0,30.4,0.0,0.0,18,False,True,False,False,False,True,False,False
1845,CW01,2024-08-19,화,0,0 days 18:30:00,0,8509.352656707875,경남 창원시,0.0,0.0,0.0,29.9,0.0,0.0,18,False,True,False,False,False,True,False,False
1846,SO05,2024-08-20,수,0,0 days 18:30:00,0,12736.0,서울 송파구,7.0,9.0,0.0,33.5,0.0,0.0,18,False,True,False,False,False,True,False,False
