날짜,시간,구장,경기  홈팀원정팀,구분
2023.07.18 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.19 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.20 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.21 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.22 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.23 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.24 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.25 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.26 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.27 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.28 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.07.29 토,13:30,구미박정희체육관,종료  한국도로공사  3  페퍼저축은행  1,조별리그
2023.07.29 토,16:20,구미박정희체육관,종료  현대건설  3  정관장  0,조별리그
2023.07.30 일,13:30,구미박정희체육관,종료  GS칼텍스  3  슈프림  0,조별리그
2023.07.30 일,16:00,구미박정희체육관,종료  흥국생명  0  IBK기업은행  3,조별리그
2023.07.31 월,15:30,구미박정희체육관,종료  페퍼저축은행  0  현대건설  3,조별리그
2023.07.31 월,19:00,구미박정희체육관,종료  정관장  3  한국도로공사  0,조별리그
2023.08.01 화,15:30,구미박정희체육관,종료  IBK기업은행  3  GS칼텍스  0,조별리그
2023.08.01 화,19:00,구미박정희체육관,종료  슈프림  0  흥국생명  3,조별리그
2023.08.02 수,15:30,구미박정희체육관,종료  페퍼저축은행  1  정관장  3,조별리그
2023.08.02 수,19:00,구미박정희체육관,종료  한국도로공사  1  현대건설  3,조별리그
2023.08.03 목,15:30,구미박정희체육관,종료  흥국생명  0  GS칼텍스  3,조별리그
2023.08.03 목,19:00,구미박정희체육관,종료  IBK기업은행  2  슈프림  3,조별리그
2023.08.04 금,15:30,구미박정희체육관,종료  현대건설  1  GS칼텍스  3,준결승
2023.08.04 금,19:00,구미박정희체육관,종료  IBK기업은행  3  정관장  1,준결승
2023.08.05 토,14:18,구미박정희체육관,종료  GS칼텍스  3  IBK기업은행  1,결승
2023.08.06 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.07 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.08 화,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.09 수,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.10 목,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.11 금,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.12 토,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.13 일,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
2023.08.14 월,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.,경기가 없습니다.
