날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.04.28,금,18:30,사직야구장,키움,2,롯데,5,False,페넌트레이스
2023.04.29,토,17:00,잠실야구장,KIA,6,LG,3,True,페넌트레이스
2023.04.29,토,17:00,한화생명 이글스 파크,NC,3,한화,2,True,페넌트레이스
2023.04.29,토,17:00,인천 SSG 랜더스 필드,두산,4,SSG,10,True,페넌트레이스
2023.04.29,토,17:00,수원 케이티위즈 파크,삼성,3,KT,2,True,페넌트레이스
2023.04.29,토,17:00,사직야구장,경기취소,키움,-,롯데  -,True,페넌트레이스
2023.04.30,일,14:00,잠실야구장,KIA,12,LG,8,False,페넌트레이스
2023.04.30,일,14:00,한화생명 이글스 파크,NC,4,한화,1,True,페넌트레이스
2023.04.30,일,14:00,인천 SSG 랜더스 필드,두산,2,SSG,0,True,페넌트레이스
2023.04.30,일,14:00,수원 케이티위즈 파크,삼성,1,KT,0,True,페넌트레이스
2023.04.30,일,14:00,사직야구장,키움,3,롯데,5,False,페넌트레이스
2023.05.02,화,18:30,잠실야구장,한화,0,두산,3,False,페넌트레이스
2023.05.02,화,18:30,인천 SSG 랜더스 필드,KT,11,SSG,4,False,페넌트레이스
2023.05.02,화,18:30,창원NC파크,LG,5,NC,3,True,페넌트레이스
2023.05.02,화,18:30,광주-기아 챔피언스필드,롯데,7,KIA,4,True,페넌트레이스
2023.05.02,화,18:30,대구 삼성 라이온즈 파크,키움,4,삼성,0,True,페넌트레이스
2023.05.03,수,18:30,잠실야구장,한화,8,두산,3,True,페넌트레이스
2023.05.03,수,18:30,인천 SSG 랜더스 필드,KT,3,SSG,5,False,페넌트레이스
2023.05.03,수,18:30,창원NC파크,LG,2,NC,1,True,페넌트레이스
2023.05.03,수,18:30,광주-기아 챔피언스필드,롯데,2,KIA,10,True,페넌트레이스
2023.05.03,수,18:30,대구 삼성 라이온즈 파크,키움,4,삼성,1,True,페넌트레이스
2023.05.04,목,18:30,잠실야구장,한화,10,두산,3,False,페넌트레이스
2023.05.04,목,18:30,인천 SSG 랜더스 필드,KT,2,SSG,10,True,페넌트레이스
2023.05.04,목,18:30,창원NC파크,경기취소,LG,-,NC  -,False,페넌트레이스
2023.05.04,목,18:30,광주-기아 챔피언스필드,경기취소,롯데,-,KIA  -,True,페넌트레이스
2023.05.04,목,18:30,대구 삼성 라이온즈 파크,키움,1,삼성,14,False,페넌트레이스
2023.05.05,금,14:00,창원NC파크,경기취소,KIA,-,NC  -,False,페넌트레이스
2023.05.05,금,14:00,한화생명 이글스 파크,경기취소,KT,-,한화  -,False,페넌트레이스
2023.05.05,금,14:00,잠실야구장,경기취소,LG,-,두산  -,False,페넌트레이스
2023.05.05,금,14:00,고척 스카이돔,SSG,3,키움,1,True,페넌트레이스
2023.05.05,금,14:00,사직야구장,경기취소,삼성,-,롯데  -,True,페넌트레이스
2023.05.06,토,14:00,잠실야구장,경기취소,LG,-,두산  -,False,페넌트레이스
2023.05.06,토,17:00,창원NC파크,경기취소,KIA,-,NC  -,False,페넌트레이스
2023.05.06,토,17:00,한화생명 이글스 파크,경기취소,KT,-,한화  -,False,페넌트레이스
2023.05.06,토,17:00,고척 스카이돔,SSG,2,키움,1,True,페넌트레이스
2023.05.06,토,17:00,사직야구장,경기취소,삼성,-,롯데  -,True,페넌트레이스
2023.05.07,일,14:00,창원NC파크,경기취소,KIA,-,NC  -,False,페넌트레이스
2023.05.07,일,14:00,한화생명 이글스 파크,KT,2,한화,6,False,페넌트레이스
2023.05.07,일,14:00,잠실야구장,LG,11,두산,1,True,페넌트레이스
2023.05.07,일,14:00,고척 스카이돔,SSG,7,키움,6,True,페넌트레이스
2023.05.07,일,14:00,사직야구장,경기취소,삼성,-,롯데  -,True,페넌트레이스
2023.05.09,화,18:30,수원 케이티위즈 파크,NC,16,KT,4,False,페넌트레이스
2023.05.09,화,18:30,사직야구장,두산,5,롯데,2,True,페넌트레이스
2023.05.09,화,18:30,광주-기아 챔피언스필드,SSG,0,KIA,3,False,페넌트레이스
2023.05.09,화,18:30,한화생명 이글스 파크,삼성,9,한화,1,True,페넌트레이스
2023.05.09,화,18:30,잠실야구장,키움,4,LG,5,False,페넌트레이스
2023.05.10,수,18:30,수원 케이티위즈 파크,NC,8,KT,7,True,페넌트레이스
2023.05.10,수,18:30,사직야구장,두산,0,롯데,3,False,페넌트레이스
2023.05.10,수,18:30,광주-기아 챔피언스필드,SSG,5,KIA,3,True,페넌트레이스
2023.05.10,수,18:30,한화생명 이글스 파크,삼성,1,한화,5,False,페넌트레이스
2023.05.10,수,18:30,잠실야구장,키움,11,LG,1,True,페넌트레이스
2023.05.11,목,18:30,수원 케이티위즈 파크,NC,4,KT,1,True,페넌트레이스
2023.05.11,목,18:30,사직야구장,두산,6,롯데,7,False,페넌트레이스
2023.05.11,목,18:30,광주-기아 챔피언스필드,SSG,5,KIA,3,True,페넌트레이스
2023.05.11,목,18:30,한화생명 이글스 파크,삼성,0,한화,4,False,페넌트레이스
2023.05.11,목,18:30,잠실야구장,키움,0,LG,1,False,페넌트레이스
2023.05.12,금,18:30,인천 SSG 랜더스 필드,한화,5,SSG,2,True,페넌트레이스
2023.05.12,금,18:30,잠실야구장,KIA,1,두산,6,False,페넌트레이스
2023.05.12,금,18:30,대구 삼성 라이온즈 파크,LG,0,삼성,4,False,페넌트레이스
2023.05.12,금,18:30,수원 케이티위즈 파크,롯데,1,KT,2,False,페넌트레이스
2023.05.12,금,18:30,고척 스카이돔,NC,4,키움,7,False,페넌트레이스
2023.05.13,토,17:00,인천 SSG 랜더스 필드,한화,5,SSG,8,False,페넌트레이스
2023.05.13,토,17:00,잠실야구장,KIA,1,두산,5,False,페넌트레이스
2023.05.13,토,17:00,대구 삼성 라이온즈 파크,LG,7,삼성,4,True,페넌트레이스
2023.05.13,토,17:00,수원 케이티위즈 파크,롯데,5,KT,0,True,페넌트레이스
2023.05.13,토,17:00,고척 스카이돔,NC,2,키움,9,False,페넌트레이스
2023.05.14,일,14:00,인천 SSG 랜더스 필드,한화,3,SSG,3,False,페넌트레이스
2023.05.14,일,14:00,잠실야구장,KIA,4,두산,8,False,페넌트레이스
2023.05.14,일,14:00,대구 삼성 라이온즈 파크,LG,8,삼성,5,True,페넌트레이스
2023.05.14,일,14:00,수원 케이티위즈 파크,롯데,8,KT,3,True,페넌트레이스
2023.05.14,일,14:00,고척 스카이돔,NC,6,키움,4,True,페넌트레이스
2023.05.16,화,18:30,대구 삼성 라이온즈 파크,KIA,8,삼성,2,True,페넌트레이스
2023.05.16,화,18:30,잠실야구장,KT,12,LG,7,False,페넌트레이스
2023.05.16,화,18:30,한화생명 이글스 파크,롯데,3,한화,1,True,페넌트레이스
2023.05.16,화,18:30,고척 스카이돔,두산,4,키움,1,True,페넌트레이스
2023.05.16,화,18:30,창원NC파크,SSG,3,NC,5,False,페넌트레이스
2023.05.17,수,18:30,대구 삼성 라이온즈 파크,KIA,7,삼성,6,True,페넌트레이스
2023.05.17,수,18:30,잠실야구장,KT,3,LG,7,False,페넌트레이스
2023.05.17,수,18:30,한화생명 이글스 파크,롯데,1,한화,2,False,페넌트레이스
2023.05.17,수,18:30,고척 스카이돔,두산,9,키움,6,True,페넌트레이스
2023.05.17,수,18:30,창원NC파크,SSG,4,NC,0,True,페넌트레이스
2023.05.18,목,18:30,대구 삼성 라이온즈 파크,경기취소,KIA,-,삼성  -,False,페넌트레이스
2023.05.18,목,18:30,잠실야구장,KT,5,LG,9,False,페넌트레이스
2023.05.18,목,18:30,한화생명 이글스 파크,롯데,7,한화,3,True,페넌트레이스
2023.05.18,목,18:30,고척 스카이돔,두산,3,키움,7,False,페넌트레이스
2023.05.18,목,18:30,창원NC파크,경기취소,SSG,-,NC  -,True,페넌트레이스
2023.05.19,금,18:30,잠실야구장,한화,1,LG,3,False,페넌트레이스
2023.05.19,금,18:30,수원 케이티위즈 파크,두산,1,KT,6,False,페넌트레이스
2023.05.19,금,18:30,사직야구장,SSG,5,롯데,7,False,페넌트레이스
2023.05.19,금,18:30,창원NC파크,삼성,5,NC,4,True,페넌트레이스
2023.05.19,금,18:30,광주-기아 챔피언스필드,키움,1,KIA,10,False,페넌트레이스
2023.05.20,토,17:00,잠실야구장,한화,1,LG,1,False,페넌트레이스
2023.05.20,토,17:00,수원 케이티위즈 파크,두산,6,KT,0,True,페넌트레이스
2023.05.20,토,17:00,사직야구장,SSG,5,롯데,0,True,페넌트레이스
2023.05.20,토,17:00,창원NC파크,삼성,3,NC,14,True,페넌트레이스
2023.05.20,토,17:00,광주-기아 챔피언스필드,키움,2,KIA,3,False,페넌트레이스
2023.05.21,일,14:00,잠실야구장,한화,1,LG,4,False,페넌트레이스
2023.05.21,일,14:00,수원 케이티위즈 파크,두산,3,KT,7,False,페넌트레이스
2023.05.21,일,14:00,사직야구장,SSG,6,롯데,3,True,페넌트레이스
2023.05.21,일,14:00,창원NC파크,삼성,2,NC,1,True,페넌트레이스
2023.05.21,일,14:00,광주-기아 챔피언스필드,키움,1,KIA,0,True,페넌트레이스
2023.05.23,화,18:30,한화생명 이글스 파크,KIA,5,한화,9,False,페넌트레이스
2023.05.23,화,18:30,인천 SSG 랜더스 필드,LG,9,SSG,1,True,페넌트레이스
2023.05.23,화,18:30,사직야구장,NC,0,롯데,2,False,페넌트레이스
2023.05.23,화,18:30,잠실야구장,삼성,5,두산,7,False,페넌트레이스
2023.05.23,화,18:30,수원 케이티위즈 파크,키움,3,KT,1,True,페넌트레이스
2023.05.24,수,18:30,한화생명 이글스 파크,KIA,4,한화,2,True,페넌트레이스
2023.05.24,수,18:30,인천 SSG 랜더스 필드,LG,3,SSG,5,False,페넌트레이스
2023.05.24,수,18:30,사직야구장,NC,3,롯데,1,True,페넌트레이스
2023.05.24,수,18:30,잠실야구장,삼성,6,두산,1,True,페넌트레이스
2023.05.24,수,18:30,수원 케이티위즈 파크,키움,1,KT,4,False,페넌트레이스
2023.05.25,목,18:30,한화생명 이글스 파크,KIA,3,한화,4,False,페넌트레이스
2023.05.25,목,18:30,인천 SSG 랜더스 필드,LG,8,SSG,3,True,페넌트레이스
2023.05.25,목,18:30,사직야구장,NC,1,롯데,11,False,페넌트레이스
2023.05.25,목,18:30,잠실야구장,삼성,3,두산,4,False,페넌트레이스
2023.05.25,목,18:30,수원 케이티위즈 파크,키움,0,KT,3,False,페넌트레이스
2023.05.26,금,18:30,창원NC파크,한화,0,NC,11,False,페넌트레이스
2023.05.26,금,18:30,대구 삼성 라이온즈 파크,KT,4,삼성,1,True,페넌트레이스
2023.05.26,금,18:30,광주-기아 챔피언스필드,LG,5,KIA,3,True,페넌트레이스
2023.05.26,금,18:30,고척 스카이돔,롯데,2,키움,0,True,페넌트레이스
2023.05.26,금,18:30,잠실야구장,SSG,14,두산,3,False,페넌트레이스
2023.05.27,토,14:00,창원NC파크,한화,5,NC,0,True,페넌트레이스
2023.05.27,토,14:00,대구 삼성 라이온즈 파크,KT,5,삼성,2,True,페넌트레이스
2023.05.27,토,14:00,광주-기아 챔피언스필드,LG,3,KIA,6,False,페넌트레이스
