날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2024.02.01,목,19:00,부천실내체육관,하나은행,72,BNK,썸  69,False,정규시즌
2024.02.02,금,19:00,용인실내체육관,삼성생명,63,신한은행,58,True,정규시즌
2024.02.03,토,18:00,아산이순신실내체육관,우리은행,56,BNK,썸  47,False,정규시즌
2024.02.04,일,18:00,청주실내체육관,KB스타즈,88,하나은행,61,True,정규시즌
2024.02.05,월,19:00,아산이순신실내체육관,우리은행,61,삼성생명,70,False,정규시즌
2024.02.07,수,19:00,청주실내체육관,KB스타즈,72,신한은행,60,True,정규시즌
2024.02.08,목,19:00,부천실내체육관,하나은행,64,우리은행,77,False,정규시즌
2024.02.09,금,14:00,부산사직실내체육관,BNK,썸,64,삼성생명  67,True,정규시즌
2024.02.11,일,18:00,청주실내체육관,KB스타즈,71,우리은행,61,True,정규시즌
2024.02.12,월,18:00,인천도원실내체육관,신한은행,57,하나은행,61,False,정규시즌
2024.02.14,수,19:00,청주실내체육관,KB스타즈,68,BNK,썸  60,False,정규시즌
2024.02.15,목,19:00,용인실내체육관,삼성생명,71,우리은행,78,False,정규시즌
2024.02.16,금,19:00,부천실내체육관,하나은행,64,KB스타즈,71,False,정규시즌
2024.02.17,토,14:00,,BNK,썸,73,신한은행  59,True,정규시즌
2024.02.18,일,18:00,용인실내체육관,삼성생명,85,하나은행,71,True,정규시즌
2024.02.19,월,19:00,아산이순신실내체육관,우리은행,80,KB스타즈,58,True,정규시즌
2024.02.21,수,19:00,인천도원실내체육관,신한은행,60,삼성생명,67,False,정규시즌
2024.02.22,목,19:00,부산사직실내체육관,BNK,썸,67,하나은행  71,False,정규시즌
2024.02.23,금,19:00,아산이순신실내체육관,우리은행,94,신한은행,75,True,정규시즌
2024.02.24,토,18:00,청주실내체육관,KB스타즈,84,삼성생명,52,True,정규시즌
2024.02.25,일,14:00,부산사직실내체육관,BNK,썸,71,우리은행  57,False,정규시즌
2024.02.26,월,19:00,부천실내체육관,하나은행,55,신한은행,73,False,정규시즌
2024.02.28,수,19:00,용인실내체육관,삼성생명,77,BNK,썸  68,False,정규시즌
2024.02.29,목,19:00,인천도원실내체육관,신한은행,83,KB스타즈,89,False,정규시즌
2024.03.01,금,18:00,아산이순신실내체육관,우리은행,88,하나은행,66,True,정규시즌
2024.03.09,토,18:00,청주실내체육관,KB스타즈,69,하나은행,51,True,플레이오프
2024.03.10,일,13:35,아산이순신실내체육관,우리은행,56,삼성생명,60,False,플레이오프
2024.03.11,월,19:00,청주실내체육관,KB스타즈,62,하나은행,52,True,플레이오프
2024.03.12,화,19:00,아산이순신실내체육관,우리은행,70,삼성생명,57,True,플레이오프
2024.03.13,수,19:00,부천실내체육관,하나은행,64,KB스타즈,77,False,플레이오프
2024.03.14,목,19:00,용인실내체육관,삼성생명,38,우리은행,54,False,플레이오프
2024.03.16,토,18:00,용인실내체육관,삼성생명,42,우리은행,67,False,플레이오프
2024.03.24,일,13:35,청주실내체육관,KB스타즈,62,우리은행,68,False,챔피언결정전
2024.03.26,화,19:00,청주실내체육관,KB스타즈,64,우리은행,60,True,챔피언결정전
2024.03.28,목,19:00,아산이순신실내체육관,우리은행,62,KB스타즈,57,True,챔피언결정전
2024.03.30,토,18:00,아산이순신실내체육관,우리은행,78,KB스타즈,72,True,챔피언결정전
2024.10.27,일,14:30,부천실내체육관,하나은행,56,KB스타즈,64,False,정규시즌
2024.10.28,월,19:00,인천도원실내체육관,신한은행,64,우리은행,76,False,정규시즌
2024.10.30,수,19:00,부산사직실내체육관,BNK,썸,69,삼성생명  64,True,정규시즌
2024.10.31,목,19:00,청주실내체육관,KB스타즈,67,신한은행,59,True,정규시즌
2024.11.01,금,19:00,용인실내체육관,삼성생명,57,하나은행,75,False,정규시즌
2024.11.02,토,18:00,아산이순신실내체육관,우리은행,54,BNK,썸  70,False,정규시즌
2024.11.03,일,16:00,부천실내체육관,하나은행,70,신한은행,56,True,정규시즌
2024.11.04,월,19:00,아산이순신실내체육관,우리은행,73,삼성생명,65,True,정규시즌
2024.11.06,수,19:00,부산사직실내체육관,BNK,썸,66,KB스타즈  56,True,정규시즌
2024.11.07,목,19:00,인천도원실내체육관,신한은행,66,삼성생명,58,True,정규시즌
2024.11.08,금,19:00,부천실내체육관,하나은행,62,우리은행,65,False,정규시즌
2024.11.09,토,18:00,인천도원실내체육관,신한은행,57,BNK,썸  77,False,정규시즌
2024.11.10,일,16:00,용인실내체육관,삼성생명,64,KB스타즈,53,True,정규시즌
2024.11.11,월,19:00,부산사직실내체육관,BNK,썸,65,하나은행  45,False,정규시즌
2024.11.13,수,19:00,청주실내체육관,KB스타즈,58,우리은행,54,True,정규시즌
2024.11.14,목,19:00,용인실내체육관,삼성생명,74,신한은행,69,True,정규시즌
2024.11.15,금,19:00,청주실내체육관,KB스타즈,78,하나은행,58,True,정규시즌
2024.11.16,토,14:00,부산사직실내체육관,BNK,썸,46,신한은행  38,True,정규시즌
2024.11.17,일,16:00,아산이순신실내체육관,우리은행,66,하나은행,60,True,정규시즌
2024.11.18,월,19:00,청주실내체육관,KB스타즈,46,삼성생명,63,False,정규시즌
2024.11.20,수,19:00,인천도원실내체육관,신한은행,64,KB스타즈,58,True,정규시즌
2024.11.21,목,19:00,부산사직실내체육관,BNK,썸,66,우리은행  68,False,정규시즌
2024.11.22,금,19:00,부천실내체육관,하나은행,53,삼성생명,60,False,정규시즌
2024.11.23,토,18:00,아산이순신실내체육관,우리은행,74,신한은행,61,True,정규시즌
2024.11.24,일,16:00,청주실내체육관,KB스타즈,52,BNK,썸  55,False,정규시즌
2024.11.25,월,19:00,용인실내체육관,삼성생명,55,우리은행,48,True,정규시즌
2024.11.27,수,19:00,부천실내체육관,하나은행,64,BNK,썸  68,False,정규시즌
2024.11.28,목,19:00,아산이순신실내체육관,우리은행,65,KB스타즈,60,True,정규시즌
2024.11.29,금,19:00,인천도원실내체육관,신한은행,58,하나은행,61,False,정규시즌
2024.11.30,토,18:00,용인실내체육관,삼성생명,80,BNK,썸  55,False,정규시즌
2024.12.01,일,16:00,청주실내체육관,KB스타즈,74,신한은행,69,True,정규시즌
2024.12.02,월,19:00,부천실내체육관,하나은행,48,삼성생명,67,False,정규시즌
2024.12.04,수,19:00,부산사직실내체육관,BNK,썸,69,우리은행  50,False,정규시즌
